"date","tmean_celsius"
2023-05-01,22.5298751265914
2023-05-02,23.0159074948158
2023-05-03,23.0662140269338
2023-05-04,25.8331923496576
2023-05-05,27.9689774878231
2023-05-06,28.8818927529417
2023-05-07,29.464828604239
2023-05-08,29.5411881058304
2023-05-09,29.3758679802035
2023-05-10,28.7951572747878
2023-05-11,30.1913779176311
2023-05-12,31.6712219991801
2023-05-13,32.5772670416184
2023-05-14,32.500213924455
2023-05-15,32.5348197277681
2023-05-16,32.3210923183111
2023-05-17,32.7877757884837
2023-05-18,30.5435515227141
2023-05-19,31.4176382559317
2023-05-20,32.5349320023148
2023-05-21,34.0995022997444
2023-05-22,35.3067599826388
2023-05-23,34.5525380075713
2023-05-24,29.4002537856867
2023-05-25,27.7920682177131
2023-05-26,28.2786581910686
2023-05-27,26.9695034450955
2023-05-28,29.3217301733699
2023-05-29,27.6803893289448
2023-05-30,28.2742662971402
2023-05-31,26.8138306417583
2023-06-01,27.5700215657552
2023-06-02,28.9605090482735
2023-06-03,30.5794684516059
2023-06-04,30.4097078299816
2023-06-05,31.9127693835599
2023-06-06,31.7708871346932
2023-06-07,32.1131003297405
2023-06-08,33.1256114064911
2023-06-09,33.8593308437017
2023-06-10,34.4624365535783
2023-06-11,33.6182619448061
2023-06-12,35.3826718930844
2023-06-13,36.2119821807484
2023-06-14,35.2022557388117
2023-06-15,33.2811481993875
2023-06-16,33.2775712378231
2023-06-17,33.6015605408468
2023-06-18,31.5437903886959
2023-06-19,30.28295401114
2023-06-20,30.77426592038
2023-06-21,31.875974980107
2023-06-22,32.8775129153404
2023-06-23,32.2669175889757
2023-06-24,31.6164591471354
2023-06-25,27.3434443721064
2023-06-26,28.6353359646267
2023-06-27,30.008949110243
2023-06-28,30.3510993863329
2023-06-29,29.6607284734278
2023-06-30,29.0406512225115
2023-07-01,29.900496796031
2023-07-02,30.8685132438753
2023-07-03,32.666764925733
2023-07-04,30.4992226683063
2023-07-05,29.4660997932339
2023-07-06,27.8796190049913
2023-07-07,28.9739126699942
2023-07-08,27.677025613667
2023-07-09,27.7739513255931
2023-07-10,27.889959942853
2023-07-11,29.247758954837
2023-07-12,29.2254189573688
2023-07-13,29.1094920970775
2023-07-14,29.9337760265962
2023-07-15,29.4253339602623
2023-07-16,29.6797205795476
2023-07-17,30.3121597101659
2023-07-18,29.3857828022521
2023-07-19,31.2290019470968
2023-07-20,32.8896675769193
2023-07-21,32.8337695463204
2023-07-22,31.6373964662905
2023-07-23,31.9911908938561
2023-07-24,31.7974811318479
2023-07-25,30.2645379714024
2023-07-26,28.4381705578462
2023-07-27,29.6938479576581
2023-07-28,28.6799097131799
2023-07-29,28.137072452498
2023-07-30,30.2513717086226
2023-07-31,31.017167381004
2023-08-01,31.6046872739438
2023-08-02,30.1269070849006
2023-08-03,30.6825266896942
2023-08-04,29.3176193425684
2023-08-05,29.9154172544126
2023-08-06,30.2689389075762
2023-08-07,30.4223300509982
2023-08-08,30.2819292233314
2023-08-09,30.6536608283902
2023-08-10,30.4287240487557
2023-08-11,31.0651888623649
2023-08-12,31.070206555025
2023-08-13,30.1813146520544
2023-08-14,29.2861956561053
2023-08-15,30.3393293969425
2023-08-16,31.43344560788
2023-08-17,31.63879311644
2023-08-18,31.3965031376591
2023-08-19,30.4848556706934
2023-08-20,31.299483235677
2023-08-21,31.8671124493634
2023-08-22,29.836169885706
2023-08-23,27.0106151439525
2023-08-24,29.0782869315441
2023-08-25,30.2176057038483
2023-08-26,30.5428439670138
2023-08-27,30.5901955686969
2023-08-28,30.419895049672
2023-08-29,31.0472328468605
2023-08-30,31.1063386140046
2023-08-31,31.6130099072868
2023-09-01,32.0026688940731
2023-09-02,31.6092279881606
2023-09-03,31.2363936059268
